chr1,s1,e1,chr2,s2,e2
chr15,20100000,23000000,chr16,0,5400000
chr15,20100000,23000000,chr16,8500000,13100000
chr15,20100000,23000000,chr16,15500000,16200000
chr15,20100000,23000000,chr16,18800000,31400000
chr15,20100000,23000000,chr16,45900000,47000000
chr15,20100000,23000000,chr16,56200000,58700000
chr15,20100000,23000000,chr16,66300000,70700000
chr15,20100000,23000000,chr16,74300000,75600000
chr15,20100000,23000000,chr16,80800000,88200000
chr15,24500000,28400000,chr16,0,5400000
chr15,24500000,28400000,chr16,8500000,13100000
chr15,24500000,28400000,chr16,15500000,16200000
chr15,24500000,28400000,chr16,18800000,31400000
chr15,24500000,28400000,chr16,45900000,47000000
chr15,24500000,28400000,chr16,56200000,58700000
chr15,24500000,28400000,chr16,66300000,70700000
chr15,24500000,28400000,chr16,74300000,75600000
chr15,24500000,28400000,chr16,80800000,88200000
chr15,40600000,44200000,chr16,0,5400000
chr15,40600000,44200000,chr16,8500000,13100000
chr15,40600000,44200000,chr16,15500000,16200000
chr15,40600000,44200000,chr16,18800000,31400000
chr15,40600000,44200000,chr16,45900000,47000000
chr15,40600000,44200000,chr16,56200000,58700000
chr15,40600000,44200000,chr16,66300000,70700000
chr15,40600000,44200000,chr16,74300000,75600000
chr15,40600000,44200000,chr16,80800000,88200000
chr15,57300000,81800000,chr16,0,5400000
chr15,57300000,81800000,chr16,8500000,13100000
chr15,57300000,81800000,chr16,15500000,16200000
chr15,57300000,81800000,chr16,18800000,31400000
chr15,57300000,81800000,chr16,45900000,47000000
chr15,57300000,81800000,chr16,56200000,58700000
chr15,57300000,81800000,chr16,66300000,70700000
chr15,57300000,81800000,chr16,74300000,75600000
chr15,57300000,81800000,chr16,80800000,88200000
chr15,85100000,86400000,chr16,0,5400000
chr15,85100000,86400000,chr16,8500000,13100000
chr15,85100000,86400000,chr16,15500000,16200000
chr15,85100000,86400000,chr16,18800000,31400000
chr15,85100000,86400000,chr16,45900000,47000000
chr15,85100000,86400000,chr16,56200000,58700000
chr15,85100000,86400000,chr16,66300000,70700000
chr15,85100000,86400000,chr16,74300000,75600000
chr15,85100000,86400000,chr16,80800000,88200000
chr15,89600000,94600000,chr16,0,5400000
chr15,89600000,94600000,chr16,8500000,13100000
