chr1,s1,e1,chr2,s2,e2
chr8,31800000,32600000,chr20,13000000,14000000
chr8,31800000,32600000,chr20,19600000,20700000
chr8,31800000,32600000,chr20,24900000,25800000
chr8,31800000,32600000,chr20,29900000,45400000
chr8,31800000,32600000,chr20,47400000,59000000
chr8,37200000,43300000,chr20,13000000,14000000
chr8,37200000,43300000,chr20,19600000,20700000
chr8,37200000,43300000,chr20,24900000,25800000
chr8,37200000,43300000,chr20,29900000,45400000
chr8,37200000,43300000,chr20,47400000,59000000
chr8,47500000,65400000,chr20,13000000,14000000
chr8,47500000,65400000,chr20,19600000,20700000
chr8,47500000,65400000,chr20,24900000,25800000
chr8,47500000,65400000,chr20,29900000,45400000
chr8,47500000,65400000,chr20,47400000,59000000
chr8,101100000,104400000,chr20,13000000,14000000
chr8,101100000,104400000,chr20,19600000,20700000
chr8,101100000,104400000,chr20,24900000,25800000
chr8,101100000,104400000,chr20,29900000,45400000
chr8,101100000,104400000,chr20,47400000,59000000
chr8,139200000,142600000,chr20,13000000,14000000
chr8,139200000,142600000,chr20,19600000,20700000
chr8,139200000,142600000,chr20,24900000,25800000
chr8,139200000,142600000,chr20,29900000,45400000
chr8,139200000,142600000,chr20,47400000,59000000
chr1,16400000,17300000,chr13,40200000,44100000
chr1,16400000,17300000,chr13,50300000,54700000
chr1,16400000,17300000,chr13,59100000,61500000
chr1,16400000,17300000,chr13,69900000,84400000
chr1,16400000,17300000,chr13,94600000,103600000
chr1,16400000,17300000,chr13,106200000,115000000
chr1,27400000,29500000,chr13,40200000,44100000
chr1,27400000,29500000,chr13,50300000,54700000
chr1,27400000,29500000,chr13,59100000,61500000
chr1,27400000,29500000,chr13,69900000,84400000
chr1,27400000,29500000,chr13,94600000,103600000
chr1,27400000,29500000,chr13,106200000,115000000
chr1,109100000,110100000,chr13,40200000,44100000
chr1,109100000,110100000,chr13,50300000,54700000
chr1,109100000,110100000,chr13,59100000,61500000
chr1,109100000,110100000,chr13,69900000,84400000
chr1,109100000,110100000,chr13,94600000,103600000
chr1,109100000,110100000,chr13,106200000,115000000
chr1,144800000,145600000,chr13,40200000,44100000
chr1,144800000,145600000,chr13,50300000,54700000
chr1,144800000,145600000,chr13,59100000,61500000
chr1,144800000,145600000,chr13,69900000,84400000
chr1,144800000,145600000,chr13,94600000,103600000
chr1,144800000,145600000,chr13,106200000,115000000
chr1,148800000,190200000,chr13,40200000,44100000
chr1,148800000,190200000,chr13,50300000,54700000
chr1,148800000,190200000,chr13,59100000,61500000
chr1,148800000,190200000,chr13,69900000,84400000
chr1,148800000,190200000,chr13,94600000,103600000
chr1,148800000,190200000,chr13,106200000,115000000
chr1,192600000,193900000,chr13,40200000,44100000
chr1,192600000,193900000,chr13,50300000,54700000
chr1,192600000,193900000,chr13,59100000,61500000
chr1,192600000,193900000,chr13,69900000,84400000
chr1,192600000,193900000,chr13,94600000,103600000
chr1,192600000,193900000,chr13,106200000,115000000
chr1,194300000,242200000,chr13,40200000,44100000
chr1,194300000,242200000,chr13,50300000,54700000
chr1,194300000,242200000,chr13,59100000,61500000
chr1,194300000,242200000,chr13,69900000,84400000
chr1,194300000,242200000,chr13,94600000,103600000
chr1,194300000,242200000,chr13,106200000,115000000
chr12,43700000,59700000,chrX,12500000,21900000
chr12,43700000,59700000,chrX,23000000,25200000
chr12,43700000,59700000,chrX,30000000,32500000
chr12,43700000,59700000,chrX,37200000,55300000
chr12,43700000,59700000,chrX,62200000,70800000
chr12,43700000,59700000,chrX,99000000,100600000
chr12,43700000,59700000,chrX,117200000,119000000
chr12,61500000,85600000,chrX,12500000,21900000
chr12,61500000,85600000,chrX,23000000,25200000
chr12,61500000,85600000,chrX,30000000,32500000
chr12,61500000,85600000,chrX,37200000,55300000
chr12,61500000,85600000,chrX,62200000,70800000
chr12,61500000,85600000,chrX,99000000,100600000
chr12,61500000,85600000,chrX,117200000,119000000
chr12,91500000,96900000,chrX,12500000,21900000
chr12,91500000,96900000,chrX,23000000,25200000
chr12,91500000,96900000,chrX,30000000,32500000
chr12,91500000,96900000,chrX,37200000,55300000
chr12,91500000,96900000,chrX,62200000,70800000
chr12,91500000,96900000,chrX,99000000,100600000
chr12,91500000,96900000,chrX,117200000,119000000
chr12,97300000,105900000,chrX,12500000,21900000
chr12,97300000,105900000,chrX,23000000,25200000
chr12,97300000,105900000,chrX,30000000,32500000
chr12,97300000,105900000,chrX,37200000,55300000
chr12,97300000,105900000,chrX,62200000,70800000
chr12,97300000,105900000,chrX,99000000,100600000
chr12,97300000,105900000,chrX,117200000,119000000
chr5,0,22600000,chr8,37200000,66000000
chr4,0,27900000,chr20,30000000,38500000
chr4,0,27900000,chr20,41400000,62800000
chr4,35100000,45600000,chr20,30000000,38500000
chr4,35100000,45600000,chr20,41400000,62800000
chr4,46000000,49500000,chr20,30000000,38500000
chr4,46000000,49500000,chr20,41400000,62800000
chr4,73800000,85300000,chr20,30000000,38500000
chr4,73800000,85300000,chr20,41400000,62800000
chr4,112200000,116400000,chr20,30000000,38500000
chr4,112200000,116400000,chr20,41400000,62800000
chr4,125100000,129800000,chr20,30000000,38500000
chr4,125100000,129800000,chr20,41400000,62800000
chr7,0,7100000,chr20,30100000,37800000
chr7,0,7100000,chr20,41300000,62900000
chr7,24600000,31200000,chr20,30100000,37800000
chr7,24600000,31200000,chr20,41300000,62900000
chr7,42500000,48400000,chr20,30100000,37800000
chr7,42500000,48400000,chr20,41300000,62900000
chr7,65200000,67600000,chr20,30100000,37800000
chr7,65200000,67600000,chr20,41300000,62900000
chr7,72700000,76200000,chr20,30100000,37800000
chr7,72700000,76200000,chr20,41300000,62900000
chr7,97000000,106200000,chr20,30100000,37800000
chr7,97000000,106200000,chr20,41300000,62900000
chr7,126600000,135100000,chr20,30100000,37800000
chr7,126600000,135100000,chr20,41300000,62900000
chr7,137300000,142100000,chr20,30100000,37800000
chr7,137300000,142100000,chr20,41300000,62900000
chr7,147800000,152600000,chr20,30100000,37800000
chr7,147800000,152600000,chr20,41300000,62900000
chr7,154600000,157400000,chr20,30100000,37800000
chr7,154600000,157400000,chr20,41300000,62900000
chr2,95300000,110400000,chr3,0,3400000
chr2,95300000,110400000,chr3,3800000,6200000
chr2,95300000,110400000,chr3,6700000,16600000
chr2,95300000,110400000,chr3,30000000,68600000
chr2,95300000,110400000,chr3,69000000,73700000
chr2,95300000,110400000,chr3,118200000,140300000
chr2,112400000,131100000,chr3,0,3400000
chr2,112400000,131100000,chr3,3800000,6200000
chr2,112400000,131100000,chr3,6700000,16600000
chr2,112400000,131100000,chr3,30000000,68600000
chr2,112400000,131100000,chr3,69000000,73700000
chr2,112400000,131100000,chr3,118200000,140300000
chr2,133000000,139500000,chr3,0,3400000
chr2,133000000,139500000,chr3,3800000,6200000
chr2,133000000,139500000,chr3,6700000,16600000
chr2,133000000,139500000,chr3,30000000,68600000
chr2,133000000,139500000,chr3,69000000,73700000
chr2,133000000,139500000,chr3,118200000,140300000
chr2,147800000,155000000,chr3,0,3400000
chr2,147800000,155000000,chr3,3800000,6200000
chr2,147800000,155000000,chr3,6700000,16600000
chr2,147800000,155000000,chr3,30000000,68600000
chr2,147800000,155000000,chr3,69000000,73700000
chr2,147800000,155000000,chr3,118200000,140300000
chr2,155400000,165000000,chr3,0,3400000
chr2,155400000,165000000,chr3,3800000,6200000
chr2,155400000,165000000,chr3,6700000,16600000
chr2,155400000,165000000,chr3,30000000,68600000
chr2,155400000,165000000,chr3,69000000,73700000
chr2,155400000,165000000,chr3,118200000,140300000
chr2,165500000,166800000,chr3,0,3400000
chr2,165500000,166800000,chr3,3800000,6200000
chr2,165500000,166800000,chr3,6700000,16600000
chr2,165500000,166800000,chr3,30000000,68600000
chr2,165500000,166800000,chr3,69000000,73700000
chr2,165500000,166800000,chr3,118200000,140300000
chr2,168700000,179400000,chr3,0,3400000
chr2,168700000,179400000,chr3,3800000,6200000
chr2,168700000,179400000,chr3,6700000,16600000
chr2,168700000,179400000,chr3,30000000,68600000
chr2,168700000,179400000,chr3,69000000,73700000
chr2,168700000,179400000,chr3,118200000,140300000
chr2,197000000,212300000,chr3,0,3400000
chr2,197000000,212300000,chr3,3800000,6200000
chr2,197000000,212300000,chr3,6700000,16600000
chr2,197000000,212300000,chr3,30000000,68600000
chr2,197000000,212300000,chr3,69000000,73700000
chr2,197000000,212300000,chr3,118200000,140300000
chr2,216500000,227800000,chr3,0,3400000
chr2,216500000,227800000,chr3,3800000,6200000
chr2,216500000,227800000,chr3,6700000,16600000
chr2,216500000,227800000,chr3,30000000,68600000
chr2,216500000,227800000,chr3,69000000,73700000
chr2,216500000,227800000,chr3,118200000,140300000
chr2,229000000,240400000,chr3,0,3400000
chr2,229000000,240400000,chr3,3800000,6200000
chr2,229000000,240400000,chr3,6700000,16600000
chr2,229000000,240400000,chr3,30000000,68600000
chr2,229000000,240400000,chr3,69000000,73700000
chr2,229000000,240400000,chr3,118200000,140300000
chr2,240800000,242900000,chr3,0,3400000
chr2,240800000,242900000,chr3,3800000,6200000
chr2,240800000,242900000,chr3,6700000,16600000
chr2,240800000,242900000,chr3,30000000,68600000
chr2,240800000,242900000,chr3,69000000,73700000
chr2,240800000,242900000,chr3,118200000,140300000
