chr1,s1,e1,chr2,s2,e2
chr3,3700000,6200000,chr8,31800000,43300000
chr3,3700000,6200000,chr8,100800000,104700000
chr3,6900000,17500000,chr8,31800000,43300000
chr3,6900000,17500000,chr8,100800000,104700000
chr3,31300000,34000000,chr8,31800000,43300000
chr3,31300000,34000000,chr8,100800000,104700000
chr3,36300000,62500000,chr8,31800000,43300000
chr3,36300000,62500000,chr8,100800000,104700000
chr3,62900000,68500000,chr8,31800000,43300000
chr3,62900000,68500000,chr8,100800000,104700000
chr3,70500000,75800000,chr8,31800000,43300000
chr3,70500000,75800000,chr8,100800000,104700000
chr3,106900000,109600000,chr8,31800000,43300000
chr3,106900000,109600000,chr8,100800000,104700000
chr3,111400000,113900000,chr8,31800000,43300000
chr3,111400000,113900000,chr8,100800000,104700000
chr3,119500000,132700000,chr8,31800000,43300000
chr3,119500000,132700000,chr8,100800000,104700000
chr3,137500000,143600000,chr8,31800000,43300000
chr3,137500000,143600000,chr8,100800000,104700000
chr3,149900000,157200000,chr8,31800000,43300000
chr3,149900000,157200000,chr8,100800000,104700000
chr3,159500000,161000000,chr8,31800000,43300000
chr3,159500000,161000000,chr8,100800000,104700000
chr3,169500000,172700000,chr8,31800000,43300000
chr3,169500000,172700000,chr8,100800000,104700000
chr3,176600000,180700000,chr8,31800000,43300000
chr3,176600000,180700000,chr8,100800000,104700000
chr3,182300000,197500000,chr8,31800000,43300000
chr3,182300000,197500000,chr8,100800000,104700000
chr1,7300000,12000000,chr8,31800000,43000000
chr1,7300000,12000000,chr8,100700000,105800000
chr1,7300000,12000000,chr8,123500000,136400000
chr1,7300000,12000000,chr8,139100000,142600000
chr1,13800000,33400000,chr8,31800000,43000000
chr1,13800000,33400000,chr8,100700000,105800000
chr1,13800000,33400000,chr8,123500000,136400000
chr1,13800000,33400000,chr8,139100000,142600000
chr1,36100000,48200000,chr8,31800000,43000000
chr1,36100000,48200000,chr8,100700000,105800000
chr1,36100000,48200000,chr8,123500000,136400000
chr1,36100000,48200000,chr8,139100000,142600000
chr1,50400000,57400000,chr8,31800000,43000000
chr1,50400000,57400000,chr8,100700000,105800000
chr1,50400000,57400000,chr8,123500000,136400000
chr1,50400000,57400000,chr8,139100000,142600000
chr1,59200000,63700000,chr8,31800000,43000000
chr1,59200000,63700000,chr8,100700000,105800000
chr1,59200000,63700000,chr8,123500000,136400000
chr1,59200000,63700000,chr8,139100000,142600000
chr1,66400000,69400000,chr8,31800000,43000000
chr1,66400000,69400000,chr8,100700000,105800000
chr1,66400000,69400000,chr8,123500000,136400000
chr1,66400000,69400000,chr8,139100000,142600000
chr1,91300000,97400000,chr8,31800000,43000000
chr1,91300000,97400000,chr8,100700000,105800000
chr1,91300000,97400000,chr8,123500000,136400000
chr1,91300000,97400000,chr8,139100000,142600000
chr1,109200000,112700000,chr8,31800000,43000000
chr1,109200000,112700000,chr8,100700000,105800000
chr1,109200000,112700000,chr8,123500000,136400000
chr1,109200000,112700000,chr8,139100000,142600000
chr1,144600000,145600000,chr8,31800000,43000000
chr1,144600000,145600000,chr8,100700000,105800000
chr1,144600000,145600000,chr8,123500000,136400000
chr1,144600000,145600000,chr8,139100000,142600000
chr1,149900000,156900000,chr8,31800000,43000000
chr1,149900000,156900000,chr8,100700000,105800000
chr1,149900000,156900000,chr8,123500000,136400000
chr1,149900000,156900000,chr8,139100000,142600000
chr1,160600000,161300000,chr8,31800000,43000000
chr1,160600000,161300000,chr8,100700000,105800000
chr1,160600000,161300000,chr8,123500000,136400000
chr1,160600000,161300000,chr8,139100000,142600000
chr1,161800000,166200000,chr8,31800000,43000000
chr1,161800000,166200000,chr8,100700000,105800000
chr1,161800000,166200000,chr8,123500000,136400000
chr1,161800000,166200000,chr8,139100000,142600000
chr1,168700000,170700000,chr8,31800000,43000000
chr1,168700000,170700000,chr8,100700000,105800000
chr1,168700000,170700000,chr8,123500000,136400000
chr1,168700000,170700000,chr8,139100000,142600000
chr1,175700000,183800000,chr8,31800000,43000000
chr1,175700000,183800000,chr8,100700000,105800000
chr1,175700000,183800000,chr8,123500000,136400000
chr1,175700000,183800000,chr8,139100000,142600000
chr1,199300000,205400000,chr8,31800000,43000000
chr1,199300000,205400000,chr8,100700000,105800000
chr1,199300000,205400000,chr8,123500000,136400000
chr1,199300000,205400000,chr8,139100000,142600000
chr1,208600000,215300000,chr8,31800000,43000000
chr1,208600000,215300000,chr8,100700000,105800000
chr1,208600000,215300000,chr8,123500000,136400000
chr1,208600000,215300000,chr8,139100000,142600000
chr1,217900000,238200000,chr8,31800000,43000000
chr1,217900000,238200000,chr8,100700000,105800000
chr1,217900000,238200000,chr8,123500000,136400000
chr1,217900000,238200000,chr8,139100000,142600000
chr1,239200000,246000000,chr8,31800000,43000000
chr1,239200000,246000000,chr8,100700000,105800000
chr1,239200000,246000000,chr8,123500000,136400000
chr1,239200000,246000000,chr8,139100000,142600000
chr7,0,7000000,chr8,31800000,43200000
chr7,0,7000000,chr8,100700000,104200000
chr7,20000000,28200000,chr8,31800000,43200000
chr7,20000000,28200000,chr8,100700000,104200000
chr7,28600000,32500000,chr8,31800000,43200000
chr7,28600000,32500000,chr8,100700000,104200000
chr7,35300000,48400000,chr8,31800000,43200000
chr7,35300000,48400000,chr8,100700000,104200000
chr7,50100000,52400000,chr8,31800000,43200000
chr7,50100000,52400000,chr8,100700000,104200000
chr7,53200000,56500000,chr8,31800000,43200000
