chr1,s1,e1,chr2,s2,e2
chr11,0,4100000,chr17,0,9400000
chr11,0,4100000,chr17,36300000,43600000
chr11,0,4100000,chr17,72300000,81100000
chr11,45800000,48100000,chr17,0,9400000
chr11,45800000,48100000,chr17,36300000,43600000
chr11,45800000,48100000,chr17,72300000,81100000
chr11,60300000,78100000,chr17,0,9400000
chr11,60300000,78100000,chr17,36300000,43600000
chr11,60300000,78100000,chr17,72300000,81100000
chr1,48200000,50700000,chr10,39200000,43000000
chr1,56000000,58500000,chr10,39200000,43000000
chr1,68300000,74300000,chr10,39200000,43000000
chr1,79200000,84200000,chr10,39200000,43000000
chr1,104300000,107900000,chr10,39200000,43000000
chr1,118500000,120200000,chr10,39200000,43000000
chr1,162800000,166700000,chr10,39200000,43000000
chr1,176300000,178900000,chr10,39200000,43000000
chr1,181200000,182300000,chr10,39200000,43000000
chr1,186400000,192300000,chr10,39200000,43000000
chr1,208500000,209600000,chr10,39200000,43000000
chr1,213500000,220000000,chr10,39200000,43000000
chr1,237200000,241500000,chr10,39200000,43000000
chr16,0,16400000,chr20,21300000,23200000
chr16,0,16400000,chr20,29400000,29900000
chr16,0,16400000,chr20,37800000,41900000
chr16,0,16400000,chr20,45400000,45800000
chr16,0,16400000,chr20,52900000,60400000
chr16,17100000,32100000,chr20,21300000,23200000
chr16,17100000,32100000,chr20,29400000,29900000
chr16,17100000,32100000,chr20,37800000,41900000
chr16,17100000,32100000,chr20,45400000,45800000
chr16,17100000,32100000,chr20,52900000,60400000
chr16,45900000,51400000,chr20,21300000,23200000
chr16,45900000,51400000,chr20,29400000,29900000
chr16,45900000,51400000,chr20,37800000,41900000
chr16,45900000,51400000,chr20,45400000,45800000
chr16,45900000,51400000,chr20,52900000,60400000
chr16,65700000,70800000,chr20,21300000,23200000
chr16,65700000,70800000,chr20,29400000,29900000
chr16,65700000,70800000,chr20,37800000,41900000
chr16,65700000,70800000,chr20,45400000,45800000
chr16,65700000,70800000,chr20,52900000,60400000
chr16,83200000,90200000,chr20,21300000,23200000
chr16,83200000,90200000,chr20,29400000,29900000
chr16,83200000,90200000,chr20,37800000,41900000
chr16,83200000,90200000,chr20,45400000,45800000
chr16,83200000,90200000,chr20,52900000,60400000
chr9,0,1100000,chr11,100000,4600000
chr9,0,1100000,chr11,43300000,48300000
chr9,0,1100000,chr11,57900000,78400000
chr9,0,1100000,chr11,116300000,121500000
chr9,32900000,38400000,chr11,100000,4600000
chr9,32900000,38400000,chr11,43300000,48300000
chr9,32900000,38400000,chr11,57900000,78400000
chr9,32900000,38400000,chr11,116300000,121500000
chr9,123000000,141100000,chr11,100000,4600000
chr9,123000000,141100000,chr11,43300000,48300000
chr9,123000000,141100000,chr11,57900000,78400000
chr9,123000000,141100000,chr11,116300000,121500000
chr13,19000000,23800000,chr21,9400000,19300000
chr13,19000000,23800000,chr21,27200000,33500000
chr13,34500000,38700000,chr21,9400000,19300000
chr13,34500000,38700000,chr21,27200000,33500000
chr13,53400000,60200000,chr21,9400000,19300000
chr13,53400000,60200000,chr21,27200000,33500000
chr13,61100000,72900000,chr21,9400000,19300000
chr13,61100000,72900000,chr21,27200000,33500000
chr17,0,1000000,chr20,0,4100000
chr17,0,1000000,chr20,30100000,37600000
chr17,0,1000000,chr20,42100000,50100000
chr17,0,1000000,chr20,60200000,62900000
chr17,5400000,16800000,chr20,0,4100000
chr17,5400000,16800000,chr20,30100000,37600000
chr17,5400000,16800000,chr20,42100000,50100000
chr17,5400000,16800000,chr20,60200000,62900000
chr17,19000000,26600000,chr20,0,4100000
chr17,19000000,26600000,chr20,30100000,37600000
chr17,19000000,26600000,chr20,42100000,50100000
chr17,19000000,26600000,chr20,60200000,62900000
chr17,30800000,36500000,chr20,0,4100000
chr17,30800000,36500000,chr20,30100000,37600000
chr17,30800000,36500000,chr20,42100000,50100000
chr17,30800000,36500000,chr20,60200000,62900000
chr17,49300000,55900000,chr20,0,4100000
chr17,49300000,55900000,chr20,30100000,37600000
chr17,49300000,55900000,chr20,42100000,50100000
chr17,49300000,55900000,chr20,60200000,62900000
chr17,66500000,72600000,chr20,0,4100000
chr17,66500000,72600000,chr20,30100000,37600000
chr17,66500000,72600000,chr20,42100000,50100000
chr17,66500000,72600000,chr20,60200000,62900000
chr5,0,17400000,chr8,0,2800000
chr5,0,17400000,chr8,8000000,11800000
chr5,0,17400000,chr8,12200000,12900000
chr5,0,17400000,chr8,16800000,31100000
chr5,0,17400000,chr8,37000000,43000000
chr5,0,17400000,chr8,47800000,48900000
chr5,0,17400000,chr8,66300000,71700000
chr5,0,17400000,chr8,73800000,75100000
chr5,0,17400000,chr8,80500000,82800000
chr5,0,17400000,chr8,94400000,104500000
chr5,0,17400000,chr8,116200000,131700000
chr5,0,17400000,chr8,132800000,146300000
chr5,31100000,41000000,chr8,0,2800000
chr5,31100000,41000000,chr8,8000000,11800000
chr5,31100000,41000000,chr8,12200000,12900000
chr5,31100000,41000000,chr8,16800000,31100000
chr5,31100000,41000000,chr8,37000000,43000000
chr5,31100000,41000000,chr8,47800000,48900000
chr5,31100000,41000000,chr8,66300000,71700000
chr5,31100000,41000000,chr8,73800000,75100000
chr5,31100000,41000000,chr8,80500000,82800000
chr5,31100000,41000000,chr8,94400000,104500000
chr5,31100000,41000000,chr8,116200000,131700000
chr5,31100000,41000000,chr8,132800000,146300000
chr5,136100000,140100000,chr8,0,2800000
chr5,136100000,140100000,chr8,8000000,11800000
chr5,136100000,140100000,chr8,12200000,12900000
chr5,136100000,140100000,chr8,16800000,31100000
chr5,136100000,140100000,chr8,37000000,43000000
chr5,136100000,140100000,chr8,47800000,48900000
chr5,136100000,140100000,chr8,66300000,71700000
chr5,136100000,140100000,chr8,73800000,75100000
chr5,136100000,140100000,chr8,80500000,82800000
chr5,136100000,140100000,chr8,94400000,104500000
chr5,136100000,140100000,chr8,116200000,131700000
chr5,136100000,140100000,chr8,132800000,146300000
chr5,147600000,151800000,chr8,0,2800000
chr5,147600000,151800000,chr8,8000000,11800000
chr5,147600000,151800000,chr8,12200000,12900000
chr5,147600000,151800000,chr8,16800000,31100000
chr5,147600000,151800000,chr8,37000000,43000000
chr5,147600000,151800000,chr8,47800000,48900000
chr5,147600000,151800000,chr8,66300000,71700000
chr5,147600000,151800000,chr8,73800000,75100000
chr5,147600000,151800000,chr8,80500000,82800000
chr5,147600000,151800000,chr8,94400000,104500000
chr5,147600000,151800000,chr8,116200000,131700000
chr5,147600000,151800000,chr8,132800000,146300000
chr5,167500000,180900000,chr8,0,2800000
chr5,167500000,180900000,chr8,8000000,11800000
chr5,167500000,180900000,chr8,12200000,12900000
chr5,167500000,180900000,chr8,16800000,31100000
chr5,167500000,180900000,chr8,37000000,43000000
chr5,167500000,180900000,chr8,47800000,48900000
chr5,167500000,180900000,chr8,66300000,71700000
chr5,167500000,180900000,chr8,73800000,75100000
chr5,167500000,180900000,chr8,80500000,82800000
chr5,167500000,180900000,chr8,94400000,104500000
